commit	subject	score	old_path	new_path	old_package	new_package	old_type	new_type	reason
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.875	sources/sources/com/tsf/shell/f/i/_c/a/b/g.java	sources/sources/com/tsf/shell/f/i/_c/a/b/SceneComponentG.java	com.tsf.shell.f.i._c.a.b	com.tsf.shell.f.i._c.a.b	g	SceneComponentG	content=0.870;methods=1.000;imports=1.000;ids=0.846;type=0.550;path=0.852
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.869	sources/sources/com/tsf/shell/f/i/_b/d/f.java	sources/sources/com/tsf/shell/f/i/_b/d/WidgetItemBackground.java	com.tsf.shell.f.i._b.d	com.tsf.shell.f.i._b.d	f	WidgetItemBackground	content=0.950;methods=1.000;imports=0.600;ids=0.923;type=0.550;path=0.807
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.850	sources/sources/com/tsf/shell/f/h/a/a/a/e.java	sources/sources/com/tsf/shell/f/h/a/a/a/SceneBackgroundNode.java	com.tsf.shell.f.h.a.a.a	com.tsf.shell.f.h.a.a.a	e	SceneBackgroundNode	content=0.914;methods=1.000;imports=0.600;ids=0.875;type=0.550;path=0.836
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.824	sources/sources/com/tsf/shell/f/i/b/d/f.java	sources/sources/com/tsf/shell/f/i/b/d/FolderItemBackground.java	com.tsf.shell.f.i.b.d	com.tsf.shell.f.i.b.d	f	FolderItemBackground	content=0.862;methods=1.000;imports=0.600;ids=0.868;type=0.550;path=0.804
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.765	sources/sources/com/tsf/shell/f/i/c/a/b/n.java	sources/sources/com/tsf/shell/f/i/c/a/b/SceneComponentN.java	com.tsf.shell.f.i.c.a.b	com.tsf.shell.f.i.c.a.b	n	SceneComponentN	content=0.899;methods=1.000;imports=0.000;ids=0.800;type=0.550;path=0.868
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.763	sources/sources/com/tsf/shell/f/i/_c/a/b/n.java	sources/sources/com/tsf/shell/f/i/_c/a/b/SceneComponentN.java	com.tsf.shell.f.i._c.a.b	com.tsf.shell.f.i._c.a.b	n	SceneComponentN	content=0.892;methods=1.000;imports=0.000;ids=0.810;type=0.550;path=0.870
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.751	sources/sources/com/tsf/shell/f/i/c/a/b/i.java	sources/sources/com/tsf/shell/f/i/c/a/b/SceneComponentI.java	com.tsf.shell.f.i.c.a.b	com.tsf.shell.f.i.c.a.b	i	SceneComponentI	content=0.869;methods=1.000;imports=0.000;ids=0.800;type=0.550;path=0.849
6c6cc1bfe675a629149401131aecc48dddabccb8	refactor: restructure shell framework components by introducing scene nodes and alignment engine while pruning legacy classes	0.748	sources/sources/com/tsf/shell/f/i/_c/a/b/i.java	sources/sources/com/tsf/shell/f/i/_c/a/b/SceneComponentI.java	com.tsf.shell.f.i._c.a.b	com.tsf.shell.f.i._c.a.b	i	SceneComponentI	content=0.861;methods=1.000;imports=0.000;ids=0.810;type=0.550;path=0.852
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.897	sources/sources/com/tsf/shell/f/f/a/b/k.java	sources/sources/com/tsf/shell/f/f/a/b/DrawerTransitionBase.java	com.tsf.shell.f.f.a.b	com.tsf.shell.f.f.a.b	k	DrawerTransitionBase	content=0.903;methods=1.000;imports=1.000;ids=0.938;type=0.550;path=0.804
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.896	sources/sources/com/tsf/shell/f/f/a/_b/k.java	sources/sources/com/tsf/shell/f/f/a/_b/DrawerTransitionBaseV2.java	com.tsf.shell.f.f.a._b	com.tsf.shell.f.f.a._b	k	DrawerTransitionBaseV2	content=0.902;methods=1.000;imports=1.000;ids=0.939;type=0.550;path=0.793
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.888	sources/sources/com/tsf/shell/f/f/a/b/c.java	sources/sources/com/tsf/shell/f/f/a/b/DrawerSmoothTransition.java	com.tsf.shell.f.f.a.b	com.tsf.shell.f.f.a.b	c	DrawerSmoothTransition	content=0.894;methods=1.000;imports=1.000;ids=0.889;type=0.550;path=0.789
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.886	sources/sources/com/tsf/shell/f/f/a/b/i.java	sources/sources/com/tsf/shell/f/f/a/b/DrawerScaleTransition.java	com.tsf.shell.f.f.a.b	com.tsf.shell.f.f.a.b	i	DrawerScaleTransition	content=0.891;methods=1.000;imports=1.000;ids=0.878;type=0.550;path=0.815
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.885	sources/sources/com/tsf/shell/f/f/a/b/f.java	sources/sources/com/tsf/shell/f/f/a/b/DrawerRotationYTransition.java	com.tsf.shell.f.f.a.b	com.tsf.shell.f.f.a.b	f	DrawerRotationYTransition	content=0.891;methods=1.000;imports=1.000;ids=0.889;type=0.550;path=0.768
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.885	sources/sources/com/tsf/shell/f/f/a/_b/i.java	sources/sources/com/tsf/shell/f/f/a/_b/DrawerScaleTransitionV2.java	com.tsf.shell.f.f.a._b	com.tsf.shell.f.f.a._b	i	DrawerScaleTransitionV2	content=0.888;methods=1.000;imports=1.000;ids=0.881;type=0.550;path=0.804
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.881	sources/sources/com/tsf/shell/f/f/a/_b/c.java	sources/sources/com/tsf/shell/f/f/a/_b/DrawerSmoothTransitionV2.java	com.tsf.shell.f.f.a._b	com.tsf.shell.f.f.a._b	c	DrawerSmoothTransitionV2	content=0.880;methods=1.000;imports=1.000;ids=0.892;type=0.550;path=0.779
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.879	sources/sources/com/tsf/shell/f/f/a/_b/f.java	sources/sources/com/tsf/shell/f/f/a/_b/DrawerRotationYTransitionV2.java	com.tsf.shell.f.f.a._b	com.tsf.shell.f.f.a._b	f	DrawerRotationYTransitionV2	content=0.877;methods=1.000;imports=1.000;ids=0.892;type=0.550;path=0.759
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.854	sources/sources/com/tsf/shell/f/f/a/b/g.java	sources/sources/com/tsf/shell/f/f/a/b/DrawerRotationZTransition.java	com.tsf.shell.f.f.a.b	com.tsf.shell.f.f.a.b	g	DrawerRotationZTransition	content=0.825;methods=1.000;imports=1.000;ids=0.878;type=0.550;path=0.768
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.853	sources/sources/com/tsf/shell/f/f/a/_b/g.java	sources/sources/com/tsf/shell/f/f/a/_b/DrawerRotationZTransitionV2.java	com.tsf.shell.f.f.a._b	com.tsf.shell.f.f.a._b	g	DrawerRotationZTransitionV2	content=0.823;methods=1.000;imports=1.000;ids=0.881;type=0.550;path=0.759
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.826	sources/sources/com/tsf/shell/preference/a/a/a/l.java	sources/sources/com/tsf/shell/preference/a/a/a/PreferenceSettingL.java	com.tsf.shell.preference.a.a.a	com.tsf.shell.preference.a.a.a	l	PreferenceSettingL	content=0.891;methods=1.000;imports=0.500;ids=0.859;type=0.550;path=0.846
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.754	sources/sources/com/tsf/shell/widget/alarm/b/a.java	sources/sources/com/tsf/shell/widget/alarm/b/AlarmDataBase.java	com.tsf.shell.widget.alarm.b	com.tsf.shell.widget.alarm.b	a	AlarmDataBase	content=0.820;methods=0.750;imports=0.429;ids=0.919;type=0.550;path=0.895
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.730	sources/sources/com/tsf/shell/f/f/a/_a/a/a.java	sources/sources/com/tsf/shell/f/f/a/_a/a/DrawerAppLayoutStrategy.java	com.tsf.shell.f.f.a._a.a	com.tsf.shell.f.f.a._a.a	a	DrawerAppLayoutStrategy	content=0.830;methods=1.000;imports=0.000;ids=0.783;type=0.550;path=0.810
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.682	sources/sources/com/tsf/shell/widget/alarm/n.java	sources/sources/com/tsf/shell/widget/alarm/AlarmConfig.java	com.tsf.shell.widget.alarm	com.tsf.shell.widget.alarm	n	AlarmConfig	content=0.718;methods=1.000;imports=0.000;ids=0.783;type=0.550;path=0.907
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.568	sources/sources/com/tsf/shell/plugin/themepicker/indicator/t.java	sources/sources/com/tsf/shell/plugin/themepicker/indicator/ThemeIndicatorType.java	com.tsf.shell.plugin.themepicker.indicator	com.tsf.shell.plugin.themepicker.ThemePickerManagerndicator	t	ThemeIndicatorType	content=0.805;methods=0.000;imports=0.000;ids=0.750;type=0.550;path=0.884
c60c79f920633f7d208afb856ffb3d3c74ff4927	refactor: reorganize project structure by replacing legacy classes with modular service and UI components.	0.503	sources/sources/com/tsf/shell/a/a/A.java	sources/sources/com/tsf/shell/a/a/ShellAction.java	com.tsf.shell.a.a	com.tsf.shell.ShellCallbackInterface.a	A	ShellAction	content=0.744;methods=0.000;imports=0.000;ids=0.778;type=0.550;path=0.889
